name,source,gender,wikidata,type,Notes,,Put the correct value in the gender column. Optional: add the wikidata ID if you find one (see example). Write any comments in the Notes column.
'דליה רביקוביץ,,F,,way,,,
355,,,,way,,,Here are the codes:
356,,,,way,,,F : cisgender female ;
421,,,,way,,,M : cisgender male ;
428,,,,way,,,FX : transgender female ;
440,,,,way,,,MX : transgender male ;
443,,,,way,,,X : intersex ;
444,,,,way,,,NB : non-binary ;
470,,,,way,,,MU : multiple ;
589,,,,way,,,? : unknown ;
614,,,,way,,,N : not related to a person ;
615,,,,way,,,
666,,,,way,,,"Example wikidata ID: Q114866, follow the link below to see this in context and search for other (street) names."
668,,,,way,,,https://www.wikidata.org/wiki/Q114866
693,,,,way,,,
856,,,,way,,,
907,,,,way,,,
921,,,,way,,,
980,,,,way,,,
1019,,,,way,,,
1024,,,,way,,,
1063,,,,way,,,
1080,,,,way,,,
1096,,,,way,,,
1098,,,,way,,,
1099,,,,way,,,
1100,,,,way,,,
1112,,,,way,,,
1115,,,,way,,,
1116,,,,way,,,
1130,,,,way,,,
1133,,,,way,,,
1174,,,,way,,,
1179,,,,way,,,
1183,,,,way,,,
1184,,,,way,,,
1221,,,,way,,,
1235,,,,way,,,
1238,,,,way,,,
1239,,,,way,,,
1240,,,,way,,,
1247,,,,way,,,
1252,,,,way,,,
1253,,,,way,,,
1274,,,,way,,,
1276,,,,way,,,
1277,,,,way,,,
1279,,,,way,,,
1285,,,,way,,,
1310,,,,way,,,
1318,,,,way,,,
1345,,,,way,,,
1364,,,,way,,,
2040,,,,way,,,
2143,,,,way,,,
2170,,,,way,,,
2184,,,,way,,,
2185,,,,way,,,
2188,,,,way,,,
2213,,,,way,,,
2228,,,,way,,,
2229,,,,way,,,
2232,,,,way,,,
2233,,,,way,,,
2234,,,,way,,,
2294,,,,way,,,
2295,,,,way,,,
2296,,,,way,,,
2297,,,,way,,,
2298,,,,way,,,
2299,,,,way,,,
2362,,,,way,,,
2364,,,,way,,,
2379,,,,way,,,
2380,,,,way,,,
2386,,,,way,,,
2410,,,,way,,,
2411,,,,way,,,
2425,,,,way,,,
2430,,,,way,,,
2433,,,,way,,,
2436,,,,way,,,
2437,,,,way,,,
2438,,,,way,,,
2439,,,,way,,,
3017,,,,way,,,
3028,,,,way,,,
3029,,,,way,,,
3102,,,,way,,,
3161,,,,way,,,
3175,,,,way,,,
3180,,,,way,,,
3197,,,,way,,,
3198,,,,way,,,
3249,,,,way,,,
3320,,,,way,,,
3336,,,,way,,,
3338,,,,way,,,
3341,,,,way,,,
3350,,,,way,,,
3351,,,,way,,,
3357,,,,way,,,
3361,,,,way,,,
3362,,,,way,,,
3381,,,,way,,,
3383,,,,way,,,
3388,,,,way,,,
3389,,,,way,,,
3404 / 403 יפו,,,,way,,,
3426,,,,way,,,
3429,,,,way,,,
3555,,,,way,,,
3615,,,,way,,,
3628,,,,way,,,
3629,,,,way,,,
3677,,,,way,,,
3694,,,,way,,,
3768,,,,way,,,
3785,,,,way,,,
3789,,,,way,,,
3807,,,,way,,,
3813,,,,way,,,
3817,,,,way,,,
3832,,,,way,,,
3846,,,,way,,,
3858,,,,way,,,
3863,,,,way,,,
3870,,,,way,,,
3883,,,,way,,,
3887,,,,way,,,
3888,,,,way,,,
3889,,,,way,,,
3903,,,,way,,,
3907,,,,way,,,
3908,,,,way,,,
3929,,,,way,,,
3931,,,,way,,,
3941,,,,way,,,
3945,,,,way,,,
3948,,,,way,,,
3949,,,,way,,,
3955,,,,way,,,
3956,,,,way,,,
3957,,,,way,,,
3959,,,,way,,,
3961,,,,way,,,
3965,,,,way,,,
3967,,,,way,,,
3969,,,,way,,,
3970,,,,way,,,
3976,,,,way,,,
4206,,,,way,,,
4214,,,,way,,,
4826,,,,way,,,
4834,,,,way,,,
4837,,,,way,,,
4842,,,,way,,,
4843,,,,way,,,
4856,,,,way,,,
4863,,,,way,,,
4865,,,,way,,,
4869,,,,way,,,
4870,,,,way,,,
4871,,,,way,,,
4873,,,,way,,,
4878,,,,way,,,
4882,,,,way,,,
4884,,,,way,,,
4885,,,,way,,,
4886,,,,way,,,
4887,,,,way,,,
4890,,,,way,,,
4892,,,,way,,,
4897,,,,way,,,
E,,,,way,,,
HaNarkis,,,,way,,,
Joseph Schmidt path,,,,way,,,
Simtat Bar Yohai,,,,way,,,
foot path to law school,,,,way,,,
park path,,,,way,,,
אב,,?,,way,,,
אבא אחימאיר,,M,,way,,,
אבא ברדיצ'ב,,M,,way,,,
אבא ושרה נאמן,,X,,way,,,
אבא קובנר,,M,,way,,,
אבודרהם,,M,,way,,,
אבולעפיה,,M,,way,,,
אבוקה,,N,,way,,,
אבטליון,,M,,way,,,
אביאסף,,M,,way,,,
אביגדור המאירי,,m,,way,,,
אבידן שמעון,,M,,way,,,
אביטל,,F,,way,,,
אבימלך,,M,,way,,,
אביצור שמואל,,M,,way,,,
אבישי,,M,,way,,,
אבן חלדון,,M,,way,,,
אבן סינא,,M,,way,,,
אבן ספיר,,M,,way,,,
אבן רשד,,M,,way,,,
אבנר,,M,,way,,,
אברבנאל,,M,,way,,,
אברהם אבן שושן,,M,,way,,,
אברהם בויאר,,M,,way,,,
אברהם ברוידס,,M,,way,,,
אברהם ענתבי,,M,,way,,,
אברהם שלונסקי,,M,,way,,,
אבשלום חביב,,M,,way,,,
אגדתי,,M,,way,,,
אגריפס,,M,,way,,,
אד קוץ',,M,,way,,,
אדוארד ברנשטיין,,M,,way,,,
אדיל עאזר,,F,,way,,,
אדירים,,N,,way,,,
אדם ברוך,,M,,way,,,
אדם הכהן,,M,,way,,,
אדר,,N,,way,,,
אהבת ציון,,N,,way,,,
אהוד,,M,,way,,,
אהלי יעקב,,M,,way,,,
אהרון בקר,,M,,way,,,
אהרון דוד גורדון,,M,,way,,,
אהרון מסקין,,M,,way,,,
אהרונוביץ',,M,,way,,,
אהרן איתין,,M,,way,,,
אוארבך,,M,,way,,,
אוגרית,,N,,way,,,
אוהב ישראל,,M,,way,,,
אוז'שקובה,,F,,way,,,
אוליפנט,,M,,way,,,
אונטרמן,,M,,way,,,
אונקלוס,,M,,way,,,
אוסוולדו ארניה,,M,,way,,,
אוסיפ מנדלשטס,,M,,way,,,
אוסישקין,,M,,way,,,
אוסקר שינדלר,,M,,way,,,
אופטושו,,M,,way,,,
אופיר,,N,,way,,,
אופנהיימר,,M,,way,,,
אופקים,,N,,way,,,
אור החיים,,N,,way,,,
אורי צבי גרינברג,,M,,way,,,
אורי קיסרי,,M,,way,,,
אוריאל אקוסטה,,M,,way,,,
אורים,,N,,way,,,
אושה,,M,,way,,,
"אז""ר",,M,,way,,,
אזוב,,N,,way,,,
"אח""י דקר",,N,,way,,,
אחווה,,N,,way,,,
אחוזת בית,,N,,way,,,
אחילוף,,N,,way,,,
אחימעץ,,M,,way,,,
אחיעזר,,M,,way,,,
אחרון,,M,,way,,,
אידלסון,,M,,way,,,
אייבשיץ,,M,,way,,,
אייגר,,M,,way,,,
אייזיק רמבה,,M,,way,,,
אייזק חריף,,M,,way,,,
איילון דרום,,N,,way,,,
איילון צפון,,N,,way,,,
איילת השחר,,N,,way,,,
אייר,,N,,way,,,
איל״ן,,N,,way,,,
אימבר,,M,,way,,,
אינשטיין,,M,,way,,,
איסקוב,,M,,way,,,
